product_id,gamein_customer_id,week,amount
40,1,1,1440
40,1,2,2189
40,1,3,1884
40,1,4,1926
40,1,5,2092
40,1,6,1644
40,1,7,2043
40,1,8,2125
40,1,9,1935
40,1,10,1899
40,1,11,1760
40,1,12,2231
40,1,13,1997
40,1,14,1716
40,1,15,1753
40,1,16,2249
40,1,17,2123
40,1,18,2090
40,1,19,2229
40,1,20,1999
40,1,21,2009
40,1,22,2044
40,1,23,1713
40,1,24,2160
40,1,25,2170
40,1,26,2145
40,1,27,2436
40,1,28,1752
40,1,29,2033
40,1,30,2102
40,1,31,1927
40,1,32,1668
40,1,33,2402
40,1,34,2028
40,1,35,1733
40,1,36,1722
40,1,37,2050
40,1,38,1852
40,1,39,1916
40,1,40,2238
40,1,41,2024
40,1,42,1972
40,1,43,1821
40,1,44,2219
40,1,45,1568
40,1,46,2188
40,1,47,2063
40,1,48,2333
40,1,49,1696
40,1,50,1804
40,1,51,2244
40,1,52,1789
40,1,53,1723
40,1,54,2070
40,1,55,2240
40,1,56,2228
40,1,57,2196
40,1,58,1904
40,1,59,2196
40,1,60,2099
40,1,61,1994
40,1,62,2098
40,1,63,2167
40,1,64,1923
40,1,65,2017
40,1,66,2014
40,1,67,1837
40,1,68,2147
40,1,69,1532
40,1,70,2206
40,1,71,1778
40,1,72,2293
40,1,73,2297
40,1,74,1864
40,1,75,1927
40,1,76,1855
40,1,77,1907
40,1,78,1963
40,1,79,2370
40,1,80,1935
40,1,81,2149
40,1,82,1786
40,1,83,2051
40,1,84,1832
40,1,85,2279
40,1,86,1948
40,1,87,1531
40,1,88,2089
40,1,89,2136
40,1,90,1784
40,1,91,1736
40,1,92,1935
40,1,93,1806
40,1,94,1862
40,1,95,1685
40,1,96,2084
40,1,97,2071
40,1,98,1728
40,1,99,2215
40,1,100,2399
41,1,1,720
41,1,2,1095
41,1,3,942
41,1,4,963
41,1,5,1046
41,1,6,822
41,1,7,1021
41,1,8,1063
41,1,9,968
41,1,10,950
41,1,11,880
41,1,12,1116
41,1,13,998
41,1,14,858
41,1,15,876
41,1,16,1125
41,1,17,1062
41,1,18,1045
41,1,19,1114
41,1,20,1000
41,1,21,1004
41,1,22,1022
41,1,23,857
41,1,24,1080
41,1,25,1085
41,1,26,1072
41,1,27,1218
41,1,28,876
41,1,29,1017
41,1,30,1051
41,1,31,963
41,1,32,834
41,1,33,1201
41,1,34,1014
41,1,35,867
41,1,36,861
41,1,37,1025
41,1,38,926
41,1,39,958
41,1,40,1119
41,1,41,1012
41,1,42,986
41,1,43,911
41,1,44,1110
41,1,45,784
41,1,46,1094
41,1,47,1032
41,1,48,1166
41,1,49,848
41,1,50,902
41,1,51,1122
41,1,52,894
41,1,53,862
41,1,54,1035
41,1,55,1120
41,1,56,1114
41,1,57,1098
41,1,58,952
41,1,59,1098
41,1,60,1049
41,1,61,997
41,1,62,1049
41,1,63,1083
41,1,64,961
41,1,65,1008
41,1,66,1007
41,1,67,918
41,1,68,1074
41,1,69,766
41,1,70,1103
41,1,71,889
41,1,72,1146
41,1,73,1148
41,1,74,932
41,1,75,964
41,1,76,927
41,1,77,954
41,1,78,982
41,1,79,1185
41,1,80,968
41,1,81,1074
41,1,82,893
41,1,83,1026
41,1,84,916
41,1,85,1139
41,1,86,974
41,1,87,765
41,1,88,1044
41,1,89,1068
41,1,90,892
41,1,91,868
41,1,92,967
41,1,93,903
41,1,94,931
41,1,95,842
41,1,96,1042
41,1,97,1036
41,1,98,864
41,1,99,1107
41,1,100,1200
42,1,1,3601
42,1,2,5473
42,1,3,4709
42,1,4,4815
42,1,5,5230
42,1,6,4111
42,1,7,5107
42,1,8,5313
42,1,9,4839
42,1,10,4748
42,1,11,4401
42,1,12,5579
42,1,13,4992
42,1,14,4290
42,1,15,4382
42,1,16,5623
42,1,17,5308
42,1,18,5226
42,1,19,5572
42,1,20,4999
42,1,21,5022
42,1,22,5110
42,1,23,4283
42,1,24,5399
42,1,25,5425
42,1,26,5362
42,1,27,6091
42,1,28,4380
42,1,29,5083
42,1,30,5254
42,1,31,4816
42,1,32,4171
42,1,33,6004
42,1,34,5070
42,1,35,4333
42,1,36,4305
42,1,37,5125
42,1,38,4631
42,1,39,4789
42,1,40,5596
42,1,41,5059
42,1,42,4930
42,1,43,4553
42,1,44,5549
42,1,45,3921
42,1,46,5470
42,1,47,5158
42,1,48,5832
42,1,49,4240
42,1,50,4511
42,1,51,5609
42,1,52,4472
42,1,53,4309
42,1,54,5176
42,1,55,5601
42,1,56,5569
42,1,57,5489
42,1,58,4759
42,1,59,5491
42,1,60,5247
42,1,61,4985
42,1,62,5246
42,1,63,5416
42,1,64,4807
42,1,65,5042
42,1,66,5036
42,1,67,4592
42,1,68,5368
42,1,69,3831
42,1,70,5515
42,1,71,4445
42,1,72,5732
42,1,73,5742
42,1,74,4660
42,1,75,4818
42,1,76,4636
42,1,77,4768
42,1,78,4908
42,1,79,5926
42,1,80,4838
42,1,81,5372
42,1,82,4466
42,1,83,5128
42,1,84,4580
42,1,85,5697
42,1,86,4871
42,1,87,3826
42,1,88,5222
42,1,89,5341
